title,author,length
How to Win Friends and Influence People (Tamil Edition),Dale Carnegie,Length: 10 hrs and 25 mins
Retrain Your Brain: Cognitive Behavioral Therapy in 7 Weeks: A Workbook for Managing Depression and Anxiety,Seth J. Gillihan PhD,Length: 4 hrs and 17 mins
The Law of Success,Paramahansa Yogananda,Length: 27 mins
Learning How to Learn,"Tesia Marshik,The Great Courses",Length: 4 hrs and 21 mins
Chanakya and the Art of War,Radhakrishnan Pillai,Length: 5 hrs and 11 mins
The New Father: A Dad's Guide to the First Year (New Father Series),Armin A. Brott,Length: 10 hrs and 23 mins
The Daily Trading Coach,Brett N. Steenbarger,Length: 14 hrs and 21 mins
Ramayana for Children,Sudha Gupta,Length: 2 hrs and 43 mins
Sherlock Holmes and the Three Winter Terrors,James Lovegrove,Length: 10 hrs and 46 mins
The Writer on the Hill,Ruskin Bond,Length: 15 hrs and 20 mins
Love's Executioner,Irvin D. Yalom,Length: 10 hrs and 57 mins
The Now Habit,Neil Fiore Ph.D.,Length: 7 hrs and 29 mins
The Truth About Muhammad,Robert Spencer,Length: 6 hrs and 45 mins
The Secret to Attracting Money,Joe Vitale,Length: 6 hrs and 8 mins
Big Shot,Jeff Kinney,Length: 2 hrs and 15 mins
Yes Minister & Yes Prime Minister - The Complete Audio Collection,"Antony Jay,Jonathan Lynn",Length: 18 hrs and 28 mins
Whispering in the Dark ,Ruskin Bond,Length: 6 hrs and 6 mins
15 Ways to Live Longer and Healthier,Joel Osteen,Length: 6 hrs and 34 mins
HBR's 10 Must Reads on Design Thinking,Harvard Business Review,Length: 5 hrs and 52 mins
Badi Soch Ka Bada Jadu [The Magic of Thinking Big],David Schwartz,Length: 11 hrs and 31 mins
The Fish in the Sea Is Not Thirsty,Osho,Length: 26 hrs and 4 mins
Airport,Arthur Hailey,Length: 19 hrs and 17 mins
The Power of Your Subconscious Mind (Tamil Edition),Dr Joseph Murphy,Length: 11 hrs and 16 mins
Cracking the Code,"Ayushmann Khurrana,Tahira Kashyap",Length: 2 hrs and 37 mins
Why I Am a Hindu,Shashi Tharoor,Length: 13 hrs and 2 mins
Chandrakanta (Hindi Edition),Devki Nandan Khatri,Length: 12 hrs and 41 mins
The Five Rules for Successful Stock Investing,"Pat Dorsey,Joe Mansueto",Length: 11 hrs and 53 mins
Undercover Sex Signals,Leil Lowndes,Length: 5 hrs and 29 mins
Sivagamiyin Sabatham (Tamil Edition),Kalki,Length: 28 hrs and 53 mins
The Krishna Key,Ashwin Sanghi,Length: 12 hrs and 24 mins
The Modern Intellectual Tradition: From Descartes to Derrida,"Lawrence Cahoone,The Great Courses",Length: 18 hrs and 46 mins
Twisted Games,Ana Huang,Length: 13 hrs and 14 mins
Make Time,"Jake Knapp,John Zeratsky",Length: 4 hrs and 58 mins
Godsfall,T. B. Mare,Length: 23 hrs and 9 mins
My Autobiography,"Charles Chaplin,David Robinson - introduction",Length: 19 hrs and 35 mins
The Art of Negotiating the Best Deal,"Seth Freeman,The Great Courses",Length: 12 hrs and 46 mins
"The Tantra Experience (The Tantra Vision, Vol. 1)",Osho,Length: 16 hrs and 21 mins
The Hidden Hindu 2,Akshat Gupta,Length: 8 hrs and 26 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood,Mark Twain,Length: 10 hrs and 10 mins
Yoga Nidra,Kamini Desai PhD,Length: 15 hrs and 17 mins
The Visitor,Lee Child,Length: 14 hrs and 17 mins
Toba Tek Singh Aur Anya Kahaniyaan [Toba Tek Singh and Other Stories],Saadat Hasan Manto,Length: 6 hrs and 33 mins
Kiss That Frog!,"Brian Tracy,Christina Tracy Stein",Length: 3 hrs and 51 mins
Understanding Michael Porter,Joan Magretta,Length: 6 hrs and 4 mins
Charitra (Hindi),OSHO,Length: 1 hr and 42 mins
Pratisad (Marathi Edition),Manoj Ambike,Length: 14 hrs and 24 mins
Kali Ka Uday,Anand Neelakantan,Length: 22 hrs and 41 mins
The Mastery Manual (Hindi),Robin Sharma,Length: 4 hrs and 51 mins
Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,Length: 10 hrs and 34 mins
Ichigo Ichie (Hindi Edition),"Hector Garcia,Fransesc Miralles",Length: 4 hrs and 9 mins
Lean UX: Designing Great Products with Agile Teams (Second Edition),"Jeff Gothelf,Josh Seiden",Length: 4 hrs and 56 mins
Karna,Kevin Missal,Length: 12 hrs and 24 mins
The Dragon Shifter's Mates Boxed Set Books 1-4,Eva Chase,Length: 23 hrs and 32 mins
The Amityville Horror,Jay Anson,Length: 6 hrs and 28 mins
Great Mythologies of the World,"The Great Courses,Grant L. Voth,Julius H. Bailey,Kathryn McClymond,Robert André LaFleur",Length: 31 hrs and 36 mins
For the Love of Physics,"Walter Lewin,Warren Goldstein",Length: 10 hrs and 11 mins
Call Sign Chaos,"Jim Mattis,Bing West",Length: 12 hrs and 1 min
World Without End,Ken Follett,Length: 45 hrs and 34 mins
The Mirror and the Light,Hilary Mantel,Length: 38 hrs and 11 mins
The Art of Critical Decision Making,"Michael A. Roberto,The Great Courses",Length: 12 hrs and 22 mins
Akelapan (Hindi),OSHO,Length: 1 hr and 32 mins
A Therapeutic Journey,Alain de Botton,Length: 9 hrs and 8 mins
The Greatest Minds and Ideas of All Time,Will Durant,Length: 3 hrs and 12 mins
Blackadder: The Complete Collected Series,"Ben Elton,Richard Curtis",Length: 15 hrs and 3 mins
Unscripted: The Great Rat-Race Escape,MJ DeMarco,Length: 16 hrs and 27 mins
"Ponniyin Selvan - Part 6 [The Son of Ponni, Part 6]",Kalki,Length: 13 hrs and 40 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 45 mins
Healing Your Emotional Self,Beverly Engel,Length: 8 hrs and 51 mins
Hotel,Arthur Hailey,Length: 15 hrs and 17 mins
The Porn Myth,Matt Fradd,Length: 5 hrs and 45 mins
Charlotte's Web,"E. B. White,Melissa Sweet",Length: 4 hrs and 2 mins
Summary of Ikigai (Tamil Edition),Audiomatic.in,Length: 26 mins
The 5 AM Club,Robin Sharma,Length: 11 hrs and 4 mins
Think and Grow Rich,Napoleon Hill,Length: 10 hrs and 15 mins
War of Lanka,Amish Tripathi,Length: 16 hrs and 20 mins
How to Persuade and Get Paid,Phil M. Jones,Length: 4 hrs and 39 mins
Sweet Talk,Cara Bastone,Length: 5 hrs and 42 mins
"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking","S.J. Scott,Barrie Davenport",Length: 3 hrs and 16 mins
Supercharged Self-Healing,RJ Spina,Length: 6 hrs and 30 mins
Writing Great Fiction: Storytelling Tips and Techniques,"James Hynes,The Great Courses",Length: 12 hrs and 17 mins
Hello Bastar,Rahul Pandita,Length: 5 hrs and 15 mins
Overcome Your Overthinking,"Heidi Sormaz,The Great Courses",Length: 5 hrs and 47 mins
Think and Grow Rich (Marathi Edition),Napoleon Hill,Length: 8 hrs and 11 mins
Effective Communication at Work,Vicki McLeod,Length: 4 hrs and 17 mins
Why We Get Sick,Benjamin Bikman PhD,Length: 6 hrs and 54 mins
4.50 from Paddington,Agatha Christie,Length: 8 hrs and 8 mins
Ghosts of the Silent Hills,Anita Krishan,Length: 9 hrs and 54 mins
Gaban [Embezzlement],Munshi Premchand,Length: 11 hrs and 36 mins
Effective Communication Skills,"Dalton Kehoe,The Great Courses",Length: 11 hrs and 53 mins
Diwan-e-Ghalib,Kuldip Salil,Length: 2 hrs and 30 mins
3 a.m.: Premium,Nick Pirog,Length: 15 hrs and 27 mins
Alcatraz Versus The Evil Librarians [Dramatized Adaptation],Brandon Sanderson,Length: 5 hrs and 34 mins
The Palestinian Delusion,Robert Spencer,Length: 8 hrs and 53 mins
"Life, the Universe, and Everything",Douglas Adams,Length: 5 hrs and 44 mins
Night School,Lee Child,Length: 11 hrs and 12 mins
Telgi,Sanjay Singh,Length: 7 hrs and 6 mins
The Theory of Everything: The Quest to Explain All Reality,"Don Lincoln,The Great Courses",Length: 12 hrs and 21 mins
Olympus: An Indian Retelling of the Greek Myths,Devdutt Pattanaik,Length: 8 hrs and 23 mins
Peace Is Every Step,Thich Nhat Hanh,Length: 3 hrs and 29 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
The Jane Austen Collection,Jane Austen,Length: 45 hrs
Aavarana,"Sandeep Balakrishna - translator,S. L. Bhyrappa",Length: 14 hrs and 20 mins
Winter Turning,Tui T. Sutherland,Length: 7 hrs and 30 mins
The Buddha and the Badass,Vishen Lakhiani,Length: 9 hrs and 42 mins
Dare,Barry McDonagh,Length: 6 hrs and 19 mins
Napoleon Hill's Master Course,Napoleon Hill,Length: 15 hrs and 46 mins
Romeo Juliet (Hindi Edition),William Shakespeare,Length: 3 hrs and 53 mins
Rendezvous with Rama,Arthur C. Clarke,Length: 7 hrs and 21 mins
The Book That Made Your World,Vishal Mangalwadi,Length: 14 hrs and 15 mins
Sherlock Holmes: The Voice of Treason,"George Mann,Cavan Scott",Length: 8 hrs
Amar Bharat (Hindi),Amish Tripathi,Length: 5 hrs and 39 mins
Rule of Two,Drew Karpyshyn,Length: 10 hrs and 12 mins
P. G. Wodehouse Volume 2,P. G. Wodehouse,Length: 45 hrs and 27 mins
Adolf Hitler,John Toland,Length: 44 hrs and 42 mins
The Monk Who Sold His Ferrari (Hindi),Robin Sharma,Length: 9 hrs and 2 mins
Menaka's Choice,Kavita Kane,Length: 12 hrs and 45 mins
I Am Enough: Mark Your Mirror and Change Your Life,Marisa Peer,Length: 5 hrs and 5 mins
Becoming a Professional Life Coach,"Patrick Williams,Diane S. Menendez",Length: 13 hrs and 55 mins
For We Are Many,Dennis E. Taylor,Length: 8 hrs and 59 mins
Diary of a Wimpy Kid: Dog Days (Book 4),Jeff Kinney,Length: 2 hrs and 28 mins
North and South,Elizabeth Gaskell,Length: 18 hrs and 20 mins
The Heart Sutra,Osho,Length: 16 hrs and 24 mins
The Secret of the Druids (Hindi Edition),Christopher Charles Doyle,Length: 12 hrs and 55 mins
How to Train Your Mind,Chris Bailey,Length: 3 hrs and 18 mins
The Tower of Nero,Rick Riordan,Length: 12 hrs and 12 mins
Dante,Sadie Kincaid,Length: 9 hrs and 20 mins
The Perfect Run 3,"Maxime J. Durand,Void Herald",Length: 18 hrs and 14 mins
The Alexander Secret (Hindi Edition),Christopher Charles Doyle,Length: 12 hrs and 20 mins
Revelation Space,Alastair Reynolds,Length: 22 hrs and 12 mins
"The Innovator's DNA, Updated, with a New Preface","Jeff Dyer,Hal Gregersen,Clayton M. Christensen",Length: 9 hrs and 12 mins
Meluha Ke Mritunjay [The Immortals of Meluha],Amish Tripathi,Length: 14 hrs and 45 mins
Poirot's Finest Cases,Agatha Christie,Length: 15 hrs and 37 mins
From Impossible to Inevitable,"Aaron Ross,Jason Lemkin",Length: 11 hrs and 12 mins
Scorpia Rising,Anthony Horowitz,Length: 9 hrs and 26 mins
The Sherlock Holmes Collection,Arthur Conan Doyle,Length: 67 hrs and 44 mins
Forge Your Future,A. P. J. Kalam,Length: 5 hrs and 37 mins
Be Still and Know,Osho,Length: 17 hrs and 10 mins
Marketing 4.0,"Philip Kotler,Hermawan Kartajaya,Iwan Setiawan",Length: 4 hrs and 48 mins
Vicious,L.J. Shen,Length: 10 hrs and 4 mins
At the Eleventh Hour,Pandit Rajmani Tigunait Ph.D.,Length: 17 hrs and 41 mins
Mann ke Chamtkar [Miracles of Your Mind],Joseph Murphy,Length: 2 hrs and 2 mins
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
Office Mein Body Language,"Allan Pease,Barbara Pease",Length: 2 hrs and 32 mins
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,Length: 4 hrs and 12 mins
Marriage of Inconvenience,Penny Reid,Length: 16 hrs and 42 mins
"Summary of Rich Dad, Poor Dad (Marathi Edition)",Audiomatic.in,Length: 29 mins
The Power of Concentration,Theron Q. Dumont,Length: 4 hrs and 29 mins
Hiranyakashyap,Kevin Missal,Length: 6 hrs and 11 mins
The Perfect Son,Freida McFadden,Length: 7 hrs and 58 mins
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 25 mins
Mahabharat,Sadhguru,Length: 20 hrs and 42 mins
"Ponniyin Selvan - Part 4 [The Son of Ponni, Part 4]",Kalki,Length: 11 hrs and 46 mins
Think like a Stoic,"Massimo Pigliucci,The Great Courses",Length: 11 hrs and 10 mins
Dhan ko Akarshit Kaise Kare [How to Attract Money],Dr. Joseph Murphy,Length: 2 hrs and 8 mins
Persuader,Lee Child,Length: 14 hrs and 16 mins
The War of Two Queens,Jennifer L. Armentrout,Length: 26 hrs and 38 mins
Figuring,Maria Popova,Length: 21 hrs and 27 mins
The Coming Storm,Michael Lewis,Length: 2 hrs and 27 mins
The Mists of Brahma,Christopher C. Doyle,Length: 11 hrs and 4 mins
"Burn the Fat, Feed the Muscle",Tom Venuto,Length: 11 hrs and 24 mins
The Processes,"Esther Hicks,Jerry Hicks",Length: 4 hrs and 26 mins
The History of Philosophy,A. C. Grayling,Length: 28 hrs and 6 mins
Office Mein Body Language,"Allan Pease,Barbara Pease",Length: 2 hrs and 32 mins
Vishnu Ke Saat Rahasya [Seven Secrets of Vishnu],Devdutt Pattanaik,Length: 4 hrs and 12 mins
Marriage of Inconvenience,Penny Reid,Length: 16 hrs and 42 mins
"Summary of Rich Dad, Poor Dad (Marathi Edition)",Audiomatic.in,Length: 29 mins
The Power of Concentration,Theron Q. Dumont,Length: 4 hrs and 29 mins
Hiranyakashyap,Kevin Missal,Length: 6 hrs and 11 mins
The Perfect Son,Freida McFadden,Length: 7 hrs and 58 mins
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 25 mins
Mahabharat,Sadhguru,Length: 20 hrs and 42 mins
"Ponniyin Selvan - Part 4 [The Son of Ponni, Part 4]",Kalki,Length: 11 hrs and 46 mins
Think like a Stoic,"Massimo Pigliucci,The Great Courses",Length: 11 hrs and 10 mins
Dhan ko Akarshit Kaise Kare [How to Attract Money],Dr. Joseph Murphy,Length: 2 hrs and 8 mins
Persuader,Lee Child,Length: 14 hrs and 16 mins
The War of Two Queens,Jennifer L. Armentrout,Length: 26 hrs and 38 mins
Figuring,Maria Popova,Length: 21 hrs and 27 mins
The Coming Storm,Michael Lewis,Length: 2 hrs and 27 mins
The Mists of Brahma,Christopher C. Doyle,Length: 11 hrs and 4 mins
"Burn the Fat, Feed the Muscle",Tom Venuto,Length: 11 hrs and 24 mins
The Processes,"Esther Hicks,Jerry Hicks",Length: 4 hrs and 26 mins
The History of Philosophy,A. C. Grayling,Length: 28 hrs and 6 mins
