title,author,length
A Damsel in Distress,P. G. Wodehouse,Length: 7 hrs and 9 mins
A Tale of Two Cities,"Charles Dickens,Simon Callow - introduction",Length: 15 hrs
Ramayana Versus Mahabharata,Devdutt Pattanaik,Length: 5 hrs and 13 mins
Wings of Fire,"APJ Abdul Kalam,Arun Tiwari",Length: 1 hr and 15 mins
Summary of The Four-Hour Work Week,Audiomatic.in,Length: 29 mins
Leadership,Brian Tracy,Length: 2 hrs and 11 mins
The Golden Future (1 of 4),OSHO,Length: 14 hrs and 40 mins
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,Length: 23 hrs and 53 mins
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,Length: 11 hrs and 31 mins
Capitalism Without Capital,"Jonathan Haskel,Stian Westlake",Length: 8 hrs and 56 mins
How to Achieve Financial Independence and Retire Early,"JD Roth,The Great Courses",Length: 4 hrs and 39 mins
Autobiography of a Yogi (Hindi Edition),Paramahansa Yogananda,Length: 23 hrs and 46 mins
Valmiki Ramayan (Hindi Edition),Valmiki,Length: 7 hrs and 17 mins
A History of British India,"The Great Courses,Hayden J. Bellenoit",Length: 12 hrs and 11 mins
Indra Nooyi - A Biography,Annapoorna,Length: 4 hrs and 14 mins
Every Man for Himself and God Against All,"Werner Herzog,Michael Hofmann - translator",Length: 13 hrs and 42 mins
Poor Economics,"Abhijit V. Banerjee,Esther Duflo",Length: 11 hrs and 30 mins
"HBR's 10 Must Reads on AI, Analytics, and the New Machine Age","Harvard Business Review,Michael E. Porter,Thomas H. Davenport,Paul Daugherty,H. James Wilson",Length: 5 hrs and 25 mins
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Satyajit Rai,Length: 8 hrs and 12 mins
Summary of Ikigai,Audiomatic.in,Length: 25 mins
How to Win Friends and Influence People (Marathi Edition),Dale Carnegie,Length: 9 hrs and 55 mins
33 Strategies of War,Robert Greene,Length: 27 hrs and 30 mins
My Gita,Devdutt Pattanaik,Length: 6 hrs and 15 mins
Devi Bhagwat Puran,Dr. Vinay,Length: 7 hrs and 13 mins
Freud Manovishleshan [Freud Psychoanalysis],Sigmund Freud,Length: 20 hrs and 13 mins
Sunderkand (Hindi Edition),Goswami Tulsidas,Length: 3 hrs and 23 mins
A Little History of Economics,Niall Kishtainy,Length: 9 hrs and 52 mins
Fifty Shades of Grey (Hindi Edition),E. L. James,Length: 21 hrs and 48 mins
"Change Your Thinking, Change Your Life",Brian Tracy,Length: 8 hrs and 57 mins
Seatmate,Cara Bastone,Length: 5 hrs and 10 mins
Genefather,Guy Haley,Length: 10 hrs and 14 mins
"Change Your Questions, Change Your Life",Marilee Adams,Length: 4 hrs and 43 mins
"Detective Sebastian Clifford, Books 1-3",Sally Rigby,Length: 22 hrs and 17 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
The Power of Your Subconscious Mind,Dr. Joseph Murphy,Length: 7 hrs and 57 mins
Study for Obedience,Sarah Bernstein,Length: 3 hrs and 59 mins
Absolute Tao,OSHO,Length: 15 hrs and 15 mins
Prem Panth Aiso Kathin,OSHO,Length: 27 hrs and 21 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
Philosopher's Stone (Hindi Edition),S. Gurjar,Length: 5 hrs and 54 mins
The Secret of Secrets,Osho,Length: 53 hrs and 32 mins
An Economic History of the World since 1400,"Donald J. Harreld,The Great Courses",Length: 24 hrs and 25 mins
The Practicing Stoic,Ward Farnsworth,Length: 9 hrs and 57 mins
If He Had Been with Me,Laura Nowlin,Length: 8 hrs and 37 mins
Astrophysics for Young People in a Hurry,"Gregory Mone,Gabrielle de Cuir,Neil deGrasse Tyson",Length: 3 hrs and 32 mins
Nona the Ninth,Tamsyn Muir,Length: 17 hrs and 46 mins
Kulfi and Cappuccino (Hindi Edition),Ashish Chaudhary,Length: 9 hrs and 32 mins
The Christmas Pact,"Vi Keeland,Penelope Ward",Length: 2 hrs and 54 mins
How to Train a Wild Elephant & Other Adventures in Mindfulness,Jan Chozen Bays MD,Length: 6 hrs and 6 mins
Lethal Defense,Michael Stagg,Length: 9 hrs and 58 mins
"The Harvard Business Review Leader's Handbook: Make an Impact, Inspire Your Organization, and Get to the Next Level","Ron Ashkenas,Brook Manville",Length: 8 hrs and 55 mins
Debt - Updated and Expanded,David Graeber,Length: 17 hrs and 48 mins
Best of Faiz (Hindi Edition),Kuldip Salil,Length: 2 hrs and 17 mins
The McKinsey Way,Ethan M. Rasiel,Length: 4 hrs and 19 mins
7 Secrets of the Goddess,Devdutt Pattanaik,Length: 4 hrs and 38 mins
Hedge Fund Market Wizards,Jack D. Schwager,Length: 16 hrs and 10 mins
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,Length: 11 hrs and 10 mins
Tips of Success (Hindi Edition),Sunil Jogi,Length: 9 hrs and 20 mins
Kamayani (Hindi Edition),Jaishankar Prasad,Length: 3 hrs and 53 mins
"Sincerely, Your Inconvenient Wife",Julia Wolf,Length: 10 hrs and 25 mins
The Little Book of Market Wizards,Jack D. Schwager,Length: 3 hrs and 49 mins
Mahayoddha Kalki: Sword of Shiva,Kevin Missal,Length: 9 hrs and 30 mins
The Sialkot Saga,Ashwin Sanghi,Length: 16 hrs and 56 mins
Dharmayoddha Kalki: Avatar of Vishnu,Kevin Missal,Length: 12 hrs and 34 mins
$100M Leads,Alex Hormozi,Length: 6 hrs
The Armour of Light,Ken Follett,Length: 21 hrs and 39 mins
Kundalini Awakening: 5 in 1 Bundle,Jenifer Williams,Length: 17 hrs and 53 mins
Harvard Business Review Emotional Intelligence Collection,Harvard Business Review,Length: 8 hrs and 1 min
"HBR's 10 Must Reads on Managing Yourself, Vol. 2",Harvard Business Review,Length: 4 hrs and 57 mins
Women and the Weight Loss Tamasha,Rujuta Diwekar,Length: 11 hrs and 38 mins
How to Stop Worrying and Start Living,Dale Carnegie,Length: 9 hrs and 42 mins
God of Ruin,Rina Kent,Length: 14 hrs and 4 mins
Death by Black Hole,Neil deGrasse Tyson,Length: 12 hrs and 4 mins
The Craving Mind,"Judson Brewer,Jon Kabat-Zinn - foreward",Length: 8 hrs and 19 mins
The Little Book of Trading,Michael Covel,Length: 4 hrs and 38 mins
Telepsychics (Hindi Edition),Joseph Murphy,Length: 8 hrs and 17 mins
The Alchemist (Hindi Edition),"Paulo Coelho,Anu Singh - translator",Length: 6 hrs and 36 mins
The 6 Habits of Growth,Brendon Burchard,Length: 5 hrs and 4 mins
How Asia Works,Joe Studwell,Length: 11 hrs and 46 mins
Fooled by Randomness,Nassim Nicholas Taleb,Length: 10 hrs and 3 mins
The Little Book That Builds Wealth,Pat Dorsey,Length: 4 hrs and 54 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
Roads to Mussoorie,Ruskin Bond,Length: 3 hrs and 5 mins
HBR's 10 Must Reads on Mental Toughness,"Harvard Business Review,Martin E. P. Seligman,Tony Schwartz,Warren G. Bennis,Robert J. Thomas",Length: 4 hrs and 30 mins
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,Length: 8 hrs and 37 mins
Evolve Your Brain,Joe Dispenza,Length: 18 hrs and 37 mins
Think and Grow Rich,Napoleon Hill,Length: 7 hrs and 40 mins
Animal Farm (Hindi Edition),George Orwell,Length: 3 hrs and 54 mins
Sword Catcher,Cassandra Clare,Length: 23 hrs and 24 mins
Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,Length: 5 hrs and 55 mins
Sevasadan [Service House],Munshi Premchand,Length: 12 hrs and 13 mins
The Brain Fog Fix,Dr. Mike Dow,Length: 7 hrs and 43 mins
Warbreaker (Dramatized Adaptation),Brandon Sanderson,Length: 17 hrs and 50 mins
Percy Jackson and the Olympians: The Chalice of the Gods,Rick Riordan,Length: 7 hrs and 5 mins
Utsav Amar Jati Anand Amar Gotra,OSHO,Length: 17 hrs and 51 mins
Gene Machine,Venki Ramakrishnan,Length: 8 hrs and 11 mins
Sapiens,Yuval Noah Harari,Length: 21 hrs and 42 mins
Written Communications: Being Heard and Understood,"Professor Allison Friederichs Atkison,The Great Courses",Length: 6 hrs and 24 mins
The Secret,Osho,Length: 36 hrs and 55 mins
Network Effect,Martha Wells,Length: 12 hrs and 47 mins
Shiv Puran (Hindi Edition),Dr. Vinay,Length: 7 hrs and 54 mins
Code Name God,Mani Bhaumik,Length: 6 hrs and 20 mins
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Nilotpal Mrinal,Length: 6 hrs and 13 mins
"The Dhammapada, Vol. 1",Osho,Length: 17 hrs and 51 mins
He Who Fights with Monsters: A LitRPG Adventure,"Shirtaloon,Travis Deverell",Length: 28 hrs and 56 mins
The Song of the Cell,Siddhartha Mukherjee,Length: 18 hrs and 9 mins
Rogue Protocol,Martha Wells,Length: 3 hrs and 46 mins
The Toyota Way to Lean Leadership,"Jeffrey Liker,Gary L. Convis",Length: 10 hrs and 4 mins
ColdFusion Presents,Dagogo Altraide,Length: 11 hrs and 38 mins
Ikigai for Young Readers (Marathi Edition),"Hector Garcia,Fransesc Miralles,Prasad Dhapre - translator",Length: 3 hrs and 42 mins
A Touch of Darkness,Scarlett St. Clair,Length: 11 hrs and 6 mins
A Little History of the World,E. H. Gombrich,Length: 9 hrs and 11 mins
Self-Care for Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 7 hrs and 20 mins
The Counterfeit Candidate,Brian Klein,Length: 10 hrs and 27 mins
Trade Wars Are Class Wars,"Matthew C. Klein,Michael Pettis",Length: 8 hrs and 32 mins
Understanding Economics,"Jay R. Corrigan,The Great Courses",Length: 5 hrs and 39 mins
The Burnout,Sophie Kinsella,Length: 12 hrs and 20 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Permanent and Natural Weight Loss,Glenn Harrold,Length: 31 mins
"Ready, Fire, Aim",Michael Masterson,Length: 12 hrs and 10 mins
Immunity to Change,"Robert Kegan,Lisa Laskow Lahey",Length: 10 hrs and 1 min
How to be a Productivity Ninja,Graham Allcott,Length: 9 hrs and 26 mins
My Inventions,Nikola Tesla,Length: 2 hrs and 44 mins
The Overcoat and Other Russian Tales,Nikolai Vasilievich Gogol,Length: 7 hrs and 53 mins
12 Essential Scientific Concepts,"The Great Courses,Indre Viskontas",Length: 12 hrs and 5 mins
Shakespeare Ki Kahaniyaan [Shakespeare's Stories],William Shakespeare,Length: 4 hrs and 13 mins
Million Dollar Habits,Robert Ringer,Length: 7 hrs and 24 mins
Sense and Sensibility,Jane Austen,Length: 11 hrs and 25 mins
Gut Reactions,Simon Quellen Field,Length: 7 hrs and 29 mins
P.G. Wodehouse Volume 1,P.G. Wodehouse,Length: 40 hrs and 37 mins
Do Epic Shit,Ankur Warikoo,Length: 3 hrs and 17 mins
Loved,Martina Lauchengco,Length: 6 hrs and 56 mins
Naina (Hindi Edition),Sanjeev Paliwal,Length: 10 hrs and 57 mins
Tripwire,Lee Child,Length: 15 hrs and 46 mins
Cometh the Hour,Jeffrey Archer,Length: 13 hrs and 3 mins
Irrational Exuberance,Robert J. Shiller,Length: 13 hrs and 47 mins
Dragon Blood - Omnibus,Lindsay Buroker,Length: 27 hrs and 34 mins
Thinking Big,"Zig Ziglar,Les Brown,Larry Iverson,Laura Stack,Bob Proctor,Marcia Wieder,Chris Widener,Sheila Murray Bethel,Mark Sanborn",Length: 13 hrs and 6 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 23 hrs and 59 mins
Little Women,Louisa May Alcott,Length: 12 hrs and 15 mins
Thomas Prescott Series Premium,Nick Pirog,Length: 34 hrs and 22 mins
Napoleon Hill's Golden Rules,Napoleon Hill,Length: 6 hrs and 57 mins
"The Quantum Series, Books 1 - 3",Douglas Phillips,Length: 33 hrs and 50 mins
The Chirkuts (Hindi Edition),Alok Kumar,Length: 4 hrs and 9 mins
Gideon the Ninth,Tamsyn Muir,Length: 16 hrs and 50 mins
Complex PTSD,Pete Walker,Length: 10 hrs and 28 mins
Pratigya [Pledge],Munshi Premchand,Length: 5 hrs and 41 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 54 mins
Ashtavakra Mahagitaa Vol. 1,OSHO,Length: 16 hrs and 7 mins
"Change Your Brain, Change Your Grades",Daniel G. Amen MD,Length: 6 hrs and 35 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 12 hrs and 3 mins
The Prodigal Daughter (Hindi Edition),Jeffrey Archer,Length: 20 hrs
How to Study,Ron Fry,Length: 6 hrs and 44 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
Host the Holy Ghost,Vladimir Savchuk,Length: 4 hrs and 12 mins
Summary of The 7 Habits of Highly Effective People,Audiomatic.in,Length: 27 mins
Cultivating an Unshakable Character,Jim Rohn,Length: 6 hrs and 31 mins
The Magic of Self-Respect,Osho,Length: 29 hrs and 16 mins
The Big Three in Economics,Mark Skousen,Length: 9 hrs and 6 mins
Olympus (Hindi Edition),Devdutt Pattanaik,Length: 8 hrs and 53 mins
"I Know What to Do, So Why Don't I Do It?",Nick Hall,Length: 10 hrs and 5 mins
The Highly Sensitive Person’s Guide to Dealing with Toxic People,Shahida Arabi MA,Length: 7 hrs and 21 mins
The Woman in White,Wilkie Collins,Length: 24 hrs and 37 mins
A Children's History of India,Subhadra Sen Gupta,Length: 11 hrs and 49 mins
The Myth of Capitalism,"Jonathan Tepper,Denise Hearn",Length: 9 hrs and 53 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 29 hrs and 1 min
Anna Karenina,Leo Tolstoy,Length: 35 hrs and 35 mins
Sahir Ludhiyanvi,Sahir Ludhiyanvi,Length: 2 hrs and 33 mins
The Pilani Pioneers,"Gaurav Mandlecha,Durjai Sethi",Length: 6 hrs and 59 mins
Jeevan Ka Param Satya (Hindi),OSHO,Length: 1 hr and 37 mins
Metahuman,Dr Deepak Chopra,Length: 12 hrs and 42 mins
The Dream,David Icke,Length: 18 hrs and 56 mins
Wisdom of the Gods for You and Me,Devdutt Pattanaik,Length: 10 hrs and 14 mins
Abroad in Japan,Chris Broad,Length: 8 hrs and 8 mins
How to Write a Lot (2nd Edition),Paul J. Silvia PhD,Length: 3 hrs and 42 mins
21 Kahaniyan Manto [21 Manto Stories],Saadat Hasan Manto,Length: 6 hrs and 44 mins
